,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10,k=11,k=12,k=13,k=14,k=15,k=16,k=17,k=18,k=19,k=20,k=21,k=22,k=23,k=24,k=25,k=26,k=27,k=28,k=29,k=30,k=31,k=32,k=33,k=34,k=35,k=36,k=37,k=38,k=39,k=40,k=41,k=42,k=43,k=44,k=45,k=46,k=47,k=48,k=49,k=50,k=51,k=52,k=53,k=54,k=55,k=56,k=57,k=58,k=59,k=60
d=1,0.16666666666666663,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d=2,0.30555555555555547,0.0,0.0,0.027777777777777787,0.05555555555555557,0.08333333333333336,0.11111111111111115,0.13888888888888892,0.11111111111111115,0.08333333333333336,0.05555555555555557,0.027777777777777787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d=3,0.42129629629629617,0.0,0.0,0.0,0.0,0.004629629629629632,0.013888888888888897,0.027777777777777794,0.046296296296296315,0.06944444444444448,0.08333333333333334,0.08796296296296299,0.08333333333333336,0.06944444444444448,0.046296296296296315,0.027777777777777794,0.013888888888888897,0.004629629629629632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d=4,0.5177469135802468,0.0,0.0,0.0,0.0,0.0,0.0,0.0007716049382716053,0.0030864197530864213,0.007716049382716054,0.015432098765432105,0.02700617283950619,0.04012345679012347,0.05246913580246915,0.06172839506172842,0.06558641975308643,0.06172839506172842,0.05246913580246915,0.04012345679012347,0.027006172839506182,0.015432098765432105,0.007716049382716052,0.0030864197530864213,0.0007716049382716053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d=5,0.598122427983539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012860082304526758,0.0006430041152263379,0.0019290123456790138,0.004501028806584365,0.00900205761316873,0.015560699588477375,0.023791152263374495,0.03279320987654323,0.04115226337448561,0.04693930041152265,0.04899691358024693,0.04693930041152265,0.04115226337448561,0.032793209876543224,0.023791152263374495,0.015560699588477375,0.009002057613168728,0.004501028806584365,0.0019290123456790138,0.0006430041152263379,0.00012860082304526758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d=6,0.6651020233196159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1433470507544597e-05,0.00012860082304526758,0.00045010288065843655,0.0012002743484224975,0.0027006172839506193,0.00527263374485597,0.009130658436213997,0.014274691358024701,0.02038323045267491,0.026706104252400567,0.032278806584362156,0.036136831275720184,0.03753000685871058,0.03613683127572018,0.032278806584362156,0.02670610425240056,0.020383230452674907,0.014274691358024698,0.009130658436213997,0.00527263374485597,0.0027006172839506184,0.0012002743484224973,0.00045010288065843655,0.00012860082304526758,2.1433470507544597e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d=7,0.7209183527663465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.572245084590766e-06,2.5005715592135364e-05,0.00010002286236854146,0.0003000685871056244,0.000750171467764061,0.0016253715134887986,0.0031257144490169204,0.005429812528577965,0.0086269718792867,0.01262788637402836,0.01712891518061272,0.021629943987197083,0.025505829903978067,0.02813143004115228,0.029060213763145878,0.02813143004115228,0.025505829903978063,0.021629943987197083,0.01712891518061272,0.012627886374028355,0.008626971879286698,0.0054298125285779635,0.00312571444901692,0.0016253715134887984,0.0007501714677640609,0.0003000685871056244,0.00010002286236854146,2.5005715592135364e-05,3.572245084590766e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d=8,0.7674319606386221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.953741807651278e-07,4.7629934461210225e-06,2.1433470507544604e-05,7.144490169181535e-05,0.00019647347965249222,0.0004667733577198602,0.0009835581466239912,0.001871856424325562,0.003259673639689075,0.005239292790733124,0.00782321673525378,0.01090725499161714,0.014253257887517157,0.017504000914494753,0.020242722146014344,0.022076474622770934,0.022722455608901095,0.02207647462277093,0.020242722146014337,0.017504000914494753,0.014253257887517157,0.010907254991617137,0.007823216735253777,0.0052392927907331235,0.003259673639689074,0.001871856424325561,0.0009835581466239912,0.0004667733577198602,0.0001964734796524922,7.144490169181535e-05,2.1433470507544604e-05,4.7629934461210225e-06,5.953741807651278e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d=9,0.8061933005321851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.92290301275213e-08,8.930612711476919e-07,4.465306355738459e-06,1.6372789971041017e-05,4.911836991312305e-05,0.00012681470050297225,0.00028994722603261735,0.0005983510516689536,0.0011297225080018302,0.0019701923931819357,0.003196266289437589,0.004850215763603114,0.0069137826741350475,0.009287837219935995,0.01178840877914953,0.01416395176040239,0.016133151863283048,0.01743702131915868,0.017893474857745277,0.01743702131915868,0.016133151863283048,0.014163951760402388,0.011788408779149528,0.009287837219935993,0.006913782674135045,0.004850215763603114,0.0031962662894375877,0.001970192393181935,0.00112972250800183,0.0005983510516689533,0.0002899472260326173,0.00012681470050297225,4.9118369913123055e-05,1.6372789971041017e-05,4.465306355738459e-06,8.930612711476919e-07,9.92290301275213e-08,0.0,0.0,0.0,0.0,0.0,0.0
d=10,0.8384944171101543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6538171687920217e-08,1.653817168792022e-07,9.095994428356121e-07,3.6383977713424485e-06,1.1824792756862955e-05,3.294403800233708e-05,8.11197321292487e-05,0.0001801006896814512,0.00036565897601991613,0.0006858379798980517,0.0011974132447204876,0.0019574580009822378,0.0030100299380599197,0.00436971572338228,0.006006085121043546,0.00783403269953768,0.009714522049484337,0.011468395156988272,0.012902668096623155,0.01384410351995801,0.014172303537104788,0.01384410351995801,0.012902668096623151,0.011468395156988272,0.009714522049484333,0.007834032699537677,0.0060060851210435445,0.004369715723382279,0.003010029938059919,0.001957458000982237,0.0011974132447204872,0.0006858379798980514,0.00036565897601991597,0.00018010068968145115,8.111973212924867e-05,3.294403800233708e-05,1.1824792756862958e-05,3.6383977713424485e-06,9.09599442835612e-07,1.653817168792022e-07,1.6538171687920217e-08
